Category,Resume
Data Science,education detail may 2013 may 2017 bbntgbqlmkke uit rgpv data scientist data scientist matelabs skill detail python exprience le 1 year month statsmodels exprience 12 month aws exprience less 1 year month machine learn exprience le 1 year month sklearn exprience le 1 year month scipy exprience le 1 year month keras exprience less 1 year monthscompany detail company matelabs description ml platform business professional dummy enthusiastsckekjofvwq 60 koramangala 5th block achievement task behind sukh sagar bengaluru india develop deployed auto preprocessing step machine learn mainly miss value treatment outlier detection encode scaling feature selection dimensionality reductionqunsobcudt deploy automated classification regression modelrynoolxhuv b4600b146 reasearch deploy time series forecast model arima sarimax holt winter prophetiqmadshiyn work meta feature extract problemiszogerzlf implement state art research paper outlier detection mixed attribute company matelabs description
Data Science,area interest deep learn control system design program python electric machinery web development analytics technical activity q hindustan aeronautics limit bangalore 4 week guidance mrbntgbqlmkk satish senior engineer hangar mirage 2000 fighter aircraft technical skill program matlab python java labview python webframework django flask ltspice intermediate language mipower intermediate github gitbash jupyter notebook xampp mysql basic python software package interpreter anaconda python2 python3 pycharm java ide eclipse operate system windows ubuntu debian kali linux education detail january 2019 bckekjofvwqtechqunsobcudt electrical electronics engineering manipal institute technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience le 1 year month excel exprience le 1 year month machine learn exprience le 1 year month mathematics exprience less 1 year month python exprience le 1 year month matlab exprience le 1 year month electrical engineering exprience less 1 year month sql exprience le 1 year monthscompany detail company themathcompany description currently work casino base operator name disclose macaurynoolxhuvi need segment customer visit property base value patron bring companysajhwmuxoobasically prove segmentation do much well way current system proper number back upiqmadshiynhenceforth implement target marketing strategy attract customer add value businessiszogerzlf
HR,qwtnrvduof ibntgbqlmkktckekjofvwq skill windows xp m office word excel look ups pivot table basic function power point saral payment package payroll software internet applicationseducation detail january 2006 bachelor hospitality management international hospitality management queen margaret university edinburg january 2006 diploma hotel management international institute hotel management hr skill detail hr management exprience less 1 year monthscompany detail company atri developer description hr payroll statutory compliance performance management company description employee relation administration create industry specific policy procedure form format letter checklist etc payroll management salary restructuring process payroll 600 employeesqunsobcudt validation input attendance leave salary start salary processrynoolxhuv processing accurate error free salary employeessajhwmuxoo responsible compensation benefit administrationiqmadshiyn coordinate account team salary processingiszogerzlf attendance leave record management assure prompt satisfactory resolution payroll related query employeesbrbegnceae statutory compliance management manage various statutory compliance requirement pf esic pt gratuity tds etc calculation deduction payment return file generate statutory report like form 16 form 24q conducting session employee statutory policy procedure compliance relate topic shop commercial establishment act e payment gratuity act 1972 recruitment selection handle recruitment like job post naukri portal coordination create annual manpower plan budget screen schedule preliminary interview arrange employee orientation handle join formality salary account open formality performance management end end facilitation pm start create job description appraisal form disbursement letter kra set mid year review annual review handle appraisal activity 360 degree training development conduct train need analysis arrange various train session employee engagement employee welfare creation deployment sale reward recognition scheme periodic interactive session like monthly birthday celebration annual day diwali dhamaka offsite etc work saral payment package payroll software well excel assist md hr work offer suggestion answer employee query payroll compliance relate issue benefit insurance medical reimbursement full final settlement resign employee
HR,qwtnrvduof education detail ba mumbai university hr skill detail hr operation exprience less 1 year monthscompany detail company mumbai monorail description
HR,education detail june 2012 may 2015 bbntgbqlmkka economics chennai tamil nadu sdnbvc hr skill detail company detail company anything solution description hr
HR,education detail bba lovely professional university hr skill detail communication exprience 6 monthscompany detail company description
HR,education detail mba acn college engineering mgt hr skill detail company detail company hr assistant description
HR,key skill computerize accounting tally sincere hard work management accounting income tax good communication leadership two four wheeler drive license internet ecommerce management computer skills c language web program tally dbms education detail june 2017 june 2019 mba finance hr india mlrit june 2014 june 2017 bcom computer hyderabad telangana osmania university june 2012 april 2014 inter mec india srimedhav hr nani skill detail account exprience 6 month database management system exprience 6 month dbms exprience 6 month management accounting exprience 6 month ecommerce exprience 6 monthscompany detail company valuelabs description give rrf form require dlt hand rlt scrum master take form rlt scrum master give form trainee work requirement till candidate receive offer company
HR,train special education certificate course education detail july 2016 october 2018 mbntgbqlmkksc psychology specialization organizational behaviour malappuram kerala calicut university july 2013 march 2016 bsc psychology thrissur prajyoti niketan college hr skill detail company detail company description do 30 day internship hr department foster hot bread kinfra malappuram kerala also do 60 day internship santhwana institute counsel psychotherapy cochin kerala counsellor
HR,computer knowledge proficient basic use m office microsoft dynamic ax software saiba softwareeducation detail mba distance education bharathiar university pa college engineering technology hsc rbntgbqlmkkvckekjofvwqgqunsobcudt hr sec school ssc grynoolxhuvhrsajhwmuxoosec school hr admin bharat skill detail dynamic exprience 6 month dynamic ax exprience 6 month microsoft dynamic exprience 6 month microsoft dynamic ax exprience 6 month m office exprience 6 monthscompany detail company sri ramesh gaarment description tirupur administration well client service corporate company insure knowledge gather garment spin mill feb 2018 still sri ramesh gaarment tirupuriqmadshiyn hr activity attendance maintenance time card maintenance staff labor individual record maintenance project advance automobile collision avoidance blackbox car
HR,software skills general computer proficiency program langages know c c java web programming tool software know matlabbntgbqlmkk dbms key strength posse good communication analytic skillsckekjofvwq positive thinkingqunsobcudt sincere hard work honesty responsibilityrynoolxhuv enthusiastic learn new skill take new taskssajhwmuxoo self motivatediqmadshiyn ready accept challenge education detail january 2014 january 2017 computer science engineering computer science engineering adichunchanagiri institute technology chikmagalur hr skill detail database management system exprience 6 month dbms exprience 6 month java exprience 6 month matlab exprience 6 monthscompany detail company truly description jayashree h iszogerzlfk
HR,technical skill typewrite tora spsseducation detail january 2017 mba chidambaram tamil nadu sn college engineering january 2014 hsc sav higher secondary school mba sn college engineering sslc finance kamaraj matriculation school hr skill detail human resource finance exprience less 1 year monthscompany detail company description
HR,ibntgbqlmkktckekjofvwq skill windows xp m office word excel look ups pivot table basic function power point saral payment package payroll software internet applicationseducation detail january 2006 bachelor hospitality management international hospitality management queen margaret university edinburg january 2006 diploma hotel management international institute hotel management hr skill detail hr management exprience less 1 year monthscompany detail company atri developer description hr payroll statutory compliance performance management company description employee relation administration create industry specific policy procedure form format letter checklist etc payroll management salary restructuring process payroll 600 employeesqunsobcudt validation input attendance leave salary start salary processrynoolxhuv processing accurate error free salary employeessajhwmuxoo responsible compensation benefit administrationiqmadshiyn coordinate account team salary processingiszogerzlf attendance leave record management assure prompt satisfactory resolution payroll related query employeesbrbegnceae statutory compliance management manage various statutory compliance requirement pf esic pt gratuity tds etc calculation deduction payment return file generate statutory report like form 16 form 24q conducting session employee statutory policy procedure compliance relate topic shop commercial establishment act e payment gratuity act 1972 recruitment selection handle recruitment like job post naukri portal coordination create annual manpower plan budget screen schedule preliminary interview arrange employee orientation handle join formality salary account open formality performance management end end facilitation pm start create job description appraisal form disbursement letter kra set mid year review annual review handle appraisal activity 360 degree training development conduct train need analysis arrange various train session employee engagement employee welfare creation deployment sale reward recognition scheme periodic interactive session like monthly birthday celebration annual day diwali dhamaka offsite etc work saral payment package payroll software well excel assist md hr work offer suggestion answer employee query payroll compliance relate issue benefit insurance medical reimbursement full final settlement resign employee
HR,education detail ba mumbai university hr skill detail hr operation exprience less 1 year monthscompany detail company mumbai monorail description
Advocate,education detail bbntgbqlmkkcom llckekjofvwqbqunsobcudt university clacutta university burdwan advocate skill detail taxation matter income tax gst p tax account exprience le 1 year month file income tax return gst return e tds air exprience less 1 year monthscompany detail company practice description 1rynoolxhuv draft preparation plaint account move relevant authority hear case
Advocate,education detail llbbntgbqlmkk dibrugarh university advocate skill detail legalckekjofvwq exprience less 1 year monthscompany detail company legalqunsobcudt description advocate
Advocate,education detail november 2016 january 2019 llm master law hyderabad telangana sultan ul uloom college law september 2011 may 2016 babntgbqlmkkllb bachelor law hyderabad telangana osmania university pg college law advocate experience litigation recently acquire master degree law skill detail microsoft word exprience less 1 year month litigation exprience less 1 year month legal research exprience less 1 year month contract exprience less 1 year month internet savvy exprience less 1 year month draft exprience le 1 year monthscompany detail company lrc office description work senior advocate l ravichander high court telanganackekjofvwq experience draft legal correspondence
Advocate,skill know english native speaker ielts overall 8 listen 8 read 8 write 7 speak 8bntgbqlmkk5 hindi bilingual proficiency punjabi native speakerckekjofvwq able communicate clearly concisely people diverse background level authorityqunsobcudt exceptional knowledge administrative procedure evidence rule trialsrynoolxhuv maintain professional attitude peer co worker client timessajhwmuxoo focused driven always meet deadline pretrial procedure trial appellate briefing effectively utilize resourcesiqmadshiyn microsoft certify system engineer 2008 much competent windows word processing software education detail july 2009 may 2012 bachelor law bikaner rajasthan maharaja ganga singh university august 2008 november 2008 microsoft certify system engineer network chandigarh july 2005 april 2008 bachelor science bio informatics chandigarh chandigarh panjab university advocate newcomer indian advocate skill detail administration exprience 72 month legal research exprience 72 month microsoft office exprience 72 month draft exprience 72 monthscompany detail company district court description key feature license advocate practice 16 aug 2012 bar council punjab haryana chandigarh iszogerzlf admit practice district court mansa since 18 aug 2012brbegnceae successfully pass india bar examination aibe conduct bar council india bci september 2013 lead sole counsel plaintiff respondent number criminal civil trial since 2012 prepare prosecute conclusion either trial settlement number claim case involve personal injury death case work panel district legal service authority mansa run supervision national legal service authority india former co opt member administrative committee punjab former joint secretary district bar association mansa 2017 18 job duty advice client legal right matter related law plead client case include various international company court law forums tribunal board research legal precedent gather evidence trial criminal injury death compensation claim others draw legal document bail petition appeal divorce contract etc negotiate settlement civil dispute act mediator conciliator local commissioner arbitrator per court order manage private practice 6 year include aspect administration management function control cost achieve objective relate practice law
Advocate,qualification introduction computer extraeducation detail january 2001 january 2003 master law chennai tamil nadu drbntgbqlmkkambedkar law university january 1998 january 2001 bachelor law chennai tamil nadu drckekjofvwq ambedkar law university january 1995 january 1998 bachelor english literature tirunelveli tamil nadu manonmaniam sundaranar university advocate advocate skill detail company detail company practice description high court judicature madras india city civil court chennai debt recovery tribunal chennai consumer forum chennai labour court small cause court rent control court legal advisor christian institute management chennai 2016 legal advisor ruah church chennai nessa trust till 2018
Advocate,skill natural language proficient english hindi marathibntgbqlmkk computer skills proficient m office internet operationckekjofvwqeducation detail january 2015 january 2018 llb law mumbai maharashtra mumbai university january 2015 bqunsobcudtmrynoolxhuvm mumbai maharashtra ssajhwmuxookiqmadshiynsomaiya college mumbai university hiszogerzlfsbrbegnceaec asmita girl junior college maharashtra board c vidya bhawan maharashtra board advocate llb student journalist skill detail company detail company criminal lawyer law firm description
Advocate,skill legal write efficient researcher legal education family law criminal defence environment law litigation business legal issue banking law commercial laweducation detail january 2014 llm criminology pune maharashtra university pune january 2012 llb law pune maharashtra university pune january 2012 diploma labour law pune maharashtra university pune advocate advocate skill detail legal write exprience 6 month litigation exprience 6 monthscompany detail company family criminal district session court description legal consultancy service co operative bank schedule bank private bank client federal bank chinchwad pune bharat co operative bank chinchwad pune icici bank scope work finalise loan agreement mortgage agreement release deed notice intimation title deed search report drt case legal notice recovery due file summary suit paper notice power attorney indemnity bond family law legal consultancy representation matter relate family dispute marriage divorce succession adoption etcbntgbqlmkk lok adalat panel judicial member four time
Advocate,good grasping quality skillful work education detail march 2013 march 2018 bbntgbqlmkk ackekjofvwq llqunsobcudt brynoolxhuv law solapur maharashtra solapur university advocate skill detail good knowledge type well many activity exprience less 1 year monthscompany detail company district session court solapur description forward think individual refine interpersonal multitasking skillssajhwmuxoo look join progressive organization provide assistance legal workiqmadshiyn company district session court solapur description provide legal assistance legal work
Advocate,hard work quick learnereducation detail june 2014 may 2017 llb law mumbai maharashtra mumbai university january 2014 bbntgbqlmkkcom commerce mumbai maharashtra mumbai university january 2011 hsc maharashtra board january 2009 ssc maharashtra board advocate skill detail company detail company vidishtra description
Advocate,technical qualification windows msbntgbqlmkk officeeducation detail llckekjofvwqb guwahati assam university law college guwahati university bqunsobcudtsc jagiroad assam jagiroad college morigaon college advocate advocate gauhati high court skill detail company detail company gauhati high court description gauhati high court subordinate court tribunal statutory body guwahati 2008rynoolxhuv numerous experience civil criminal case case consumer forumsajhwmuxoo handle good number civil well criminal matter district session judge court judge court ciqmadshiynjiszogerzlfmbrbegnceae court consumer forum also high court work executive legal hindustan paper corporation limit govt india enterprise nagaon paper mill since jan 2012 strength adaptability penchant adapt condition level environment accordance requirement give situation interpersonal extrovert core prefer interact people walk life vary stratum society ability quickly establish rapport others team work enjoy part group achieve combine goal role responsibility hpc ltd assist briefing counsel matter relate nagaon paper mill cachar paper mill also nagaland pulp paper corporation ltd task legal vet nib nit term condition etc provide legal view protect interest corporation assist formulation draft disciplinary matter liaisoning local body also forums
Arts,good communication skill quick learner keen find solutionseducation detail mba masibqtserxdybsvdazdwkblqbsqtzuxmnnfuivuvt
